City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Yulara,0,AU,1619033921,47,-25.2406,130.9889,53.6,5.75
Nazca,1,PE,1619033921,42,-14.8333,-74.95,82.83,10.71
Umluj,59,SA,1619033921,51,25.0213,37.2685,82.72,5.41
Sioux Lookout,40,CA,1619033922,38,50.1001,-91.917,37.4,9.22
Kiryat Gat,100,IL,1619033675,100,31.61,34.7642,66.0,5.91
Água Branca,92,BR,1619033922,90,-5.8922,-42.6361,77.56,3.33
San Rafael del Sur,40,NI,1619033922,41,11.8485,-86.4384,96.8,13.8
Akdepe,0,TM,1619033922,20,42.0551,59.3788,53.6,16.11
Constitución,100,CL,1619033923,96,-35.3333,-72.4167,57.87,13.24
Pauini,46,BR,1619033923,86,-7.7136,-66.9764,81.81,2.35
Bowen,40,AU,1619033923,94,-20.0167,148.2333,71.6,2.3
Rāzole,53,IN,1619033924,91,16.4833,81.8333,78.21,1.68
Coyhaique,75,CL,1619033735,54,-45.5752,-72.0662,53.6,8.05
Miroslav,0,CZ,1619033924,62,48.9477,16.3125,53.01,2.3
Skibbereen,20,IE,1619033741,81,51.55,-9.2667,50.0,11.5
Otukpo,19,NG,1619033924,58,7.1913,8.1329,84.83,5.35
Vilyuysk,100,RU,1619033924,99,63.7553,121.6247,-6.99,2.42
Tarko-Sale,33,RU,1619033925,74,64.9225,77.785,16.0,11.3
Araxá,0,BR,1619033925,32,-19.5933,-46.9406,80.6,4.61
Gornopravdinsk,8,RU,1619033925,88,60.05,69.9,25.97,5.08
Luleå,65,SE,1619033925,75,65.5842,22.1547,35.6,3.24
College,1,US,1619033926,44,64.8569,-147.8028,39.99,3.44
Härnösand,90,SE,1619033926,75,62.6323,17.9379,41.0,20.71
Luxor,75,EG,1619033926,24,25.6989,32.6421,95.0,3.44
Boralday,90,KZ,1619033927,100,43.3578,76.8594,28.4,4.47
Stanislav,0,UA,1619033927,100,46.5691,32.1478,44.6,6.71
Impfondo,32,CG,1619033927,89,1.6381,18.0667,72.79,2.44
Urucará,85,BR,1619033927,89,-2.5364,-57.76,79.39,2.21
Batagay-Alyta,100,RU,1619033928,95,67.8006,130.4114,-2.45,6.02
Zyryanka,15,RU,1619033928,87,65.75,150.85,24.22,7.07
Saraland,1,US,1619033928,37,30.8207,-88.0706,69.8,20.71
Vanimo,100,PG,1619033929,83,-2.6741,141.3028,77.2,4.56
Serov,42,RU,1619033929,71,59.6033,60.5787,40.89,5.44
Codrington,100,AU,1619033929,89,-38.2667,141.9667,52.03,9.48
Hobyo,99,SO,1619033929,68,5.3505,48.5268,84.47,14.29
Gryazi,69,RU,1619033930,91,52.4966,39.9359,42.19,6.58
Polovinnoye,94,RU,1619033930,69,54.7914,65.9864,42.84,7.23
Loreto,17,MX,1619033930,9,22.2667,-101.9667,81.46,14.81
Mikkeli,90,FI,1619033930,93,61.6886,27.2723,39.2,3.44
Talcahuano,90,CL,1619033931,82,-36.7167,-73.1167,62.6,9.22
Champerico,75,GT,1619033931,74,14.3,-91.9167,87.8,6.91
Nizhniye Sergi,83,RU,1619033931,61,56.6614,59.3033,39.76,3.94
Yar-Sale,100,RU,1619033931,89,66.8333,70.8333,33.08,11.21
Solnechnyy,2,RU,1619033932,81,50.7214,136.6319,34.63,5.75
Bambanglipuro,12,ID,1619033932,86,-7.95,110.2833,73.09,4.27
Mehrān,0,IR,1619033932,34,33.1222,46.1646,68.0,4.61
Mugur-Aksy,98,RU,1619033932,81,50.35,90.5,17.19,5.77
Zilair,100,RU,1619033933,64,52.2332,57.4392,35.46,5.1
Gerede,22,TR,1619033933,90,40.8008,32.1969,37.53,1.19
Calatayud,90,ES,1619033933,94,41.3535,-1.6432,60.8,4.61
Fīrozpur Jhirka,0,IN,1619033934,41,27.8,76.95,75.45,5.59
Mochishche,75,RU,1619033934,93,55.1586,83.1229,28.4,8.95
Turtas,9,RU,1619033934,84,58.9417,69.1325,28.08,5.19
Zaragoza,40,ES,1619033804,63,41.6561,-0.8773,64.0,13.8
Kharp,99,RU,1619033934,95,66.8014,65.8081,23.56,4.41
Filingué,24,NE,1619033935,8,14.3521,3.3168,95.77,10.67
Dawei,84,MM,1619033935,90,14.0833,98.2,77.5,1.23
San Policarpo,100,PH,1619033935,84,12.1791,125.5072,76.96,6.24
Ponta Delgada,75,PT,1619033799,94,37.7333,-25.6667,62.6,14.97
Tual,14,ID,1619033935,71,-5.6667,132.75,83.07,4.16
Galesong,20,ID,1619033936,100,-5.3166,119.3661,73.4,1.14
Sirte,0,LY,1619033936,58,31.2089,16.5887,66.02,19.33
Jinan,100,CN,1619033936,77,36.6683,116.9972,57.99,3.98
Buala,99,SB,1619033936,80,-8.145,159.5921,79.79,2.19
Newton,20,US,1619033843,48,42.337,-71.2092,66.2,20.71
Nadym,100,RU,1619033937,96,65.5333,72.5167,31.46,11.14
Tazovsky,94,RU,1619033937,95,67.4667,78.7,23.18,12.06
Tamale,14,GH,1619033937,44,9.4008,-0.8393,90.77,4.83
Grand-Santi,34,GF,1619033938,95,4.25,-54.3833,78.31,3.76
Krasnokamensk,100,RU,1619033938,43,50.0979,118.0369,50.76,5.46
Flinders,1,AU,1619033938,78,-34.5833,150.8552,51.01,1.01
Matcha,100,RU,1619033938,86,54.6335,42.3501,41.4,8.72
Inhambane,20,MZ,1619033939,94,-23.865,35.3833,71.6,6.15
Pisco,0,PE,1619033649,64,-13.7,-76.2167,73.4,25.32
São João da Barra,0,BR,1619033939,61,-21.6403,-41.0511,80.6,11.5
Alpena,75,US,1619033827,38,45.0617,-83.4327,37.4,12.66
Tacna,20,PE,1619033708,60,-18.0056,-70.2483,71.6,10.36
Al Bardīyah,100,LY,1619033939,68,31.7561,25.0865,60.44,8.28
Svetlograd,0,RU,1619033940,87,45.3353,42.8547,48.2,4.47
Biak,37,ID,1619033940,85,-0.9131,122.8766,76.23,2.8
Haines Junction,53,CA,1619033940,26,60.7522,-137.5108,41.0,4.61
Lukovetskiy,75,RU,1619033940,53,64.2956,41.9211,46.4,20.13
Kingston,20,JM,1619033941,70,17.997,-76.7936,89.01,28.77
Avera,40,US,1619033941,33,33.194,-82.5271,77.0,19.57
Murray Bridge,94,AU,1619033941,92,-35.1167,139.2667,55.0,10.4
Berlevåg,0,NO,1619033941,87,70.8578,29.0864,39.2,11.5
Bandarbeyla,52,SO,1619033942,79,9.4942,50.8122,82.49,8.5
Hinton,77,CA,1619033922,17,53.4001,-117.5857,60.8,5.75
Phan Thiet,100,VN,1619033942,85,10.9333,108.1,78.62,2.75
Oodweyne,36,SO,1619033942,54,9.4092,45.064,76.1,3.87
Garoowe,44,SO,1619033943,65,8.4054,48.4845,79.97,15.73
Goderich,48,CA,1619033943,64,43.7501,-81.7165,32.0,13.8
Caucaia,40,BR,1619033943,74,-3.7361,-38.6531,84.99,9.22
Kumul,99,CN,1619033943,22,42.8,93.45,65.88,9.06
Rawson,100,AR,1619033944,79,-43.3002,-65.1023,65.03,14.56
Dobrinka,81,RU,1619033944,89,52.1653,40.4731,43.86,7.63
Agüimes,20,ES,1619033944,73,27.9054,-15.4461,68.0,21.85
Arrondissement de Moulins,0,FR,1619033944,71,46.5,3.3333,60.8,4.61
Kahului,20,US,1619033945,73,20.8947,-156.47,78.8,6.71
Eucaliptus,20,BO,1619033945,32,-17.5833,-67.5167,66.2,11.5
Port Hardy,75,CA,1619033945,76,50.6996,-127.4199,51.8,16.11
Forsytheganj,100,BY,1619033945,92,52.6333,29.7333,44.53,6.58
Province of Trapani,20,IT,1619033946,77,37.8333,12.6667,66.99,21.85
Noyabrsk,59,RU,1619033736,89,63.1994,75.4507,14.68,10.58
Takapau,22,NZ,1619033946,80,-40.0333,176.35,49.62,2.26
Ancud,75,CL,1619033946,71,-41.8697,-73.8203,57.99,4.61
Pingzhuang,100,CN,1619033946,34,42.0372,119.2889,50.7,15.19
Minnedosa,20,CA,1619033947,21,50.2453,-99.8436,57.2,21.85
Aswān,83,EG,1619033947,20,24.0934,32.907,92.25,11.7
Saquarema,75,BR,1619033947,94,-22.92,-42.5103,73.4,12.66
Viedma,100,AR,1619033948,55,-40.8135,-62.9967,72.9,10.4
Praia,75,CV,1619033948,64,14.9215,-23.5087,73.4,18.41
Ambilobe,100,MG,1619033948,69,-13.2,49.05,76.82,7.38
Sabha,100,LY,1619033948,16,27.0377,14.4283,78.06,11.48
Sobolevo,14,RU,1619033949,86,54.4299,31.8996,39.92,7.99
Rush,20,IE,1619033949,81,53.5223,-6.0931,48.2,8.05
Divnomorskoye,97,RU,1619033949,86,44.5011,38.1353,47.86,2.68
Palu,73,ID,1619033949,92,-0.8917,119.8707,74.53,3.04
Kruisfontein,98,ZA,1619033950,94,-34.0033,24.7314,62.01,1.99
Forbes,0,AU,1619033950,82,-33.3833,148.0167,37.99,0.94
Kolpashevo,10,RU,1619033950,92,58.3131,82.9089,15.03,4.9
Longhua,0,CN,1619033950,87,23.6137,114.1919,69.82,1.21
Mananjary,100,MG,1619033951,89,-21.2167,48.3333,72.16,3.65
Āsmār,25,AF,1619033951,76,35.0333,71.3581,58.5,0.27
Iwaki,0,JP,1619033951,37,37.05,140.8833,48.83,8.1
Pencaitland,17,GB,1619033951,59,55.9073,-2.8949,46.99,1.99
Limbang,75,MY,1619033952,94,4.75,115.0,78.8,3.44
Zabid,38,YE,1619033952,38,14.1951,43.3152,87.12,2.33
Sawākin,4,SD,1619033952,59,19.1059,37.3321,83.44,6.71
San Antero,67,CO,1619033953,65,9.3741,-75.7589,85.98,10.33
Comodoro Rivadavia,0,AR,1619033747,45,-45.8667,-67.5,62.6,17.27
Iracoubo,93,GF,1619033953,87,5.4802,-53.2011,78.42,11.92
Hudson Bay,50,CA,1619033953,32,52.85,-102.3842,55.99,12.39
Acapulco de Juárez,40,MX,1619033953,55,16.8634,-99.8901,87.8,4.61
Holbeach,92,GB,1619033954,61,52.804,0.0144,43.0,5.99
Río Gallegos,0,AR,1619033735,46,-51.6226,-69.2181,48.2,3.44
Araouane,61,ML,1619033954,8,18.9048,-3.5265,90.05,8.16
Quang Ngai,76,VN,1619033954,95,15.1167,108.8,75.0,4.29
Manyana,2,BW,1619033955,36,-23.4,21.7167,63.37,6.85
Lancaster,40,US,1619033749,53,40.2504,-76.2499,48.99,29.93
Dunedin,98,NZ,1619033955,97,-45.8742,170.5036,51.01,4.63
Buchanan,75,LR,1619033955,70,5.8808,-10.0467,86.0,5.75
Sapele,17,NG,1619033955,82,5.8941,5.6767,80.71,6.96
Bāsār,100,IN,1619033956,74,27.9833,94.6667,65.82,2.64
Lata,75,PT,1619033709,100,40.1629,-8.3327,60.01,5.75
Batemans Bay,76,AU,1619033956,89,-35.7167,150.1833,48.0,1.99
Innisfail,99,AU,1619033956,95,-17.5333,146.0333,73.24,4.41
Sfântu Gheorghe,32,RO,1619033878,82,45.8667,25.7833,44.01,3.09
Muros,100,ES,1619033716,92,42.7762,-9.0603,57.0,6.62
Peniche,32,PT,1619033957,90,39.3558,-9.3811,61.0,15.01
Semey,63,KZ,1619033957,70,50.4111,80.2275,32.16,7.16
Mayumba,100,GA,1619033957,87,-3.432,10.6554,80.06,4.21
Kodinsk,6,RU,1619033957,93,58.6881,99.1844,5.04,1.81
Storm Lake,100,US,1619033958,35,42.6411,-95.2097,39.2,12.66
Kultuk,100,RU,1619033958,89,51.7208,103.6956,25.14,3.11
Sanmenxia,92,CN,1619033958,92,34.7747,111.1814,51.33,5.68
Shahr-e Bābak,53,IR,1619033958,18,30.1165,55.1186,69.33,11.81
Altamira,40,BR,1619033959,58,-3.2033,-52.2064,89.6,5.75
Santiago,40,CL,1619033924,35,-33.4569,-70.6483,75.0,8.05
Shimoda,5,JP,1619033959,79,34.6667,138.95,52.0,3.0
Benguela,27,AO,1619033959,85,-12.5763,13.4055,81.09,4.72
Greifswald,1,DE,1619033959,68,54.1,13.3833,44.01,1.01
Marquette,99,US,1619033960,44,46.5333,-87.6335,36.0,5.01
